case_id,symptom,topology_note,concept_tag,severity,show_outputs,expected_fault
NET-011,"Redundant link between Switch1 and Switch3 is unexpectedly unused, no load balancing","Two switches connected via two trunk links for redundancy, STP running default settings","spanning-tree blocking",low,"show spanning-tree vlan 10: Gi0/2 role Altn state BLK | Gi0/1 role Root state FWD","Expected behavior - STP is blocking Gi0/2 to prevent a loop; not a fault but often misread as one"
NET-012,"New hosts on VLAN 50 are not receiving IP addresses via DHCP","DHCP server is centrally located on Router1; VLAN 50 is a remote subnet via Switch3","DHCP relay missing",high,"show run int Vlan50 (Switch3, L3 switch): no ip helper-address configured | client shows IP 169.254.x.x (APIPA)","Missing 'ip helper-address <dhcp-server-ip>' on VLAN 50 interface"
NET-013,"PC6 in VLAN 40 has no connectivity, interface LEDs show no link light","Router sub-interface Gi0/0.40 serves VLAN 40 for the finance department","interface administratively down",high,"GigabitEthernet0/0.40 is administratively down, line protocol is down","Gi0/0.40 administratively down - needs 'no shutdown'"
NET-014,"Connection between Switch1 and Router1 is up but experiencing high error rates and slow throughput","Switch1 Fa0/1 set to 100/full; Router1 Fa0/0 left at auto-negotiate","duplex mismatch",medium,"show interfaces Fa0/1 (Switch1): 100Mb/s, full-duplex | show interfaces Fa0/0 (Router1): 10Mb/s, half-duplex, %input errors, collisions","Duplex/speed mismatch - Router1 Fa0/0 auto-negotiated incorrectly against a fixed peer"
NET-015,"VLAN 60 traffic is not passing across the Switch2-Switch4 trunk despite trunk being up","Trunk configured on both ends but allowed VLAN list was restricted during initial setup","VLAN not allowed on trunk",medium,"show interfaces trunk (Switch2): Gi0/2 allowed vlans: 1,10,20,30,40,50 (VLAN 60 missing from list)","VLAN 60 missing from trunk allowed list - needs 'switchport trunk allowed vlan add 60'"
NET-016,"OSPF is only advertising part of the expected network on Router2","Router2 configured to advertise 172.16.4.0/22 network into OSPF area 0","incorrect wildcard mask",medium,"show run (Router2): router ospf 1 network 172.16.4.0 0.0.0.255 area 0","Wildcard mask 0.0.0.255 only covers a /24, not the intended /22 (should be 0.0.3.255)"
NET-017,"Branch office subnet 192.168.99.0/24 is unreachable from HQ","Static route configured on HQ router pointing to branch router","static route typo",high,"show run (HQ Router): ip route 192.168.9.0 255.255.255.0 10.0.0.2","Static route has a typo - 192.168.9.0 instead of 192.168.99.0"
NET-018,"PC7 connected to Switch2 Fa0/8 cannot get past the switch onto the trunk, isolated from network","Switch2 Fa0/8 was previously used for an inter-switch link and left in trunk mode","access/trunk mode mismatch",medium,"show interfaces switchport (Switch2 Fa0/8): Administrative Mode: trunk | Operational Mode: trunk","Port Fa0/8 left in trunk mode - needs 'switchport mode access' plus correct VLAN assignment"
NET-019,"Two router interfaces on Router1 both show 'up/up' but neither can reach expected next hops","Gi0/0 and Gi0/1 were configured during initial setup, both intended for different subnets","duplicate IP address (router)",high,"show ip interface brief: GigabitEthernet0/0 10.0.1.1 up up | GigabitEthernet0/1 10.0.1.1 up up","Both Gi0/0 and Gi0/1 configured with the same IP address 10.0.1.1"
NET-020,"Internal hosts on VLAN 70 cannot access the internet, no NAT translations are created","NAT configured for VLAN 10/20 but VLAN 70 was added later without updating NAT ACL","NAT ACL incomplete",medium,"show run: access-list 5 permit 192.168.10.0 0.0.0.255 | access-list 5 permit 192.168.20.0 0.0.0.255 (no entry for 192.168.70.0/24)","access-list 5 missing a permit entry for the VLAN 70 subnet 192.168.70.0/24"
NET-021,"Switch3 unexpectedly became the STP root bridge for VLAN 10, causing suboptimal traffic paths","Switch1 was intended to be root bridge but had its priority changed during troubleshooting and never reverted","STP root bridge misconfiguration",low,"show spanning-tree vlan 10: Switch3 Bridge ID Priority 4096 | Switch1 Bridge ID Priority 32768 (default)","Switch3 has a lower (better) priority than intended root bridge Switch1"
NET-022,"New hosts on VLAN 20 stop receiving DHCP addresses during peak hours","DHCP pool for VLAN 20 was sized for the original 20 hosts; department has grown to 45","DHCP pool exhausted",medium,"show ip dhcp pool VLAN20: Current index 192.168.20.255 | Total addresses 30 | Leased addresses 30","DHCP pool exhausted - only 30 addresses defined for /24 network segment now needing more"
NET-023,"PC8 in the guest VLAN 80 has no connectivity after a router maintenance window","Router sub-interface Gi0/0.80 for guest VLAN was disabled during maintenance and not re-enabled","interface administratively down",medium,"GigabitEthernet0/0.80 is administratively down, line protocol is down","Gi0/0.80 administratively down - needs 'no shutdown'"
NET-024,"Devices on the native VLAN are experiencing intermittent connectivity issues and CDP native VLAN mismatch warnings","Switch1 trunk native VLAN set to 1; Switch2 trunk native VLAN set to 99","native VLAN mismatch",medium,"show interfaces trunk (Switch1): Native VLAN 1 | show interfaces trunk (Switch2): Native VLAN 99 | %CDP-4-NATIVE_VLAN_MISMATCH log message","Native VLAN mismatch between trunk ends - both sides must match (e.g., both set to 1 or both to 99)"
NET-025,"Server1 in VLAN 30 is unreachable from all VLANs, but was reachable before an ACL update","ACL 110 was recently modified and reapplied to the router sub-interface","ACL applied wrong direction",high,"show run: interface GigabitEthernet0/0.30 ip access-group 110 out | ACL 110 was written to filter traffic entering the subinterface, not leaving it","ACL 110 applied 'out' when it was designed to filter inbound traffic - should be 'ip access-group 110 in'"
NET-026,"OSPF adjacency between Router2 and Router3 flaps up and down repeatedly","Point-to-point link between Router2 and Router3 on 10.0.23.0/30","incorrect wildcard mask / mismatched network statement",medium,"show run (Router3): router ospf 1 network 10.0.23.0 0.0.0.7 area 0","Wildcard mask 0.0.0.7 covers a /29, mismatched with the /30 link, causing intermittent adjacency issues"
NET-027,"All hosts on VLAN 90 lost connectivity to other VLANs after switch reload","VLAN 90 is a routed SVI (switch virtual interface) on a Layer 3 switch","missing IP address on SVI",high,"show run int Vlan90: no ip address configured | show ip interface brief: Vlan90 unassigned administratively down down","SVI Vlan90 lost its IP address configuration after reload - needs 'ip address <addr> <mask>' re-applied"
NET-028,"Voice VLAN phones are registering intermittently and losing QoS markings","Switch access ports configured with a data VLAN but voice VLAN command omitted","missing voice VLAN configuration",low,"show interfaces switchport (Fa0/10): Voice VLAN: none | Access Mode VLAN: 10 (data)","Missing 'switchport voice vlan <id>' command on access ports used by IP phones"
NET-029,"NAT translations stop being created once approximately 250 internal hosts are active simultaneously","NAT overload configured using a single outside interface IP address","NAT port exhaustion",medium,"show ip nat statistics: Total active translations: 0 (max reached, prior peak ~64000 exceeded due to session churn) | Outside interface: GigabitEthernet0/1 (single public IP)","Single-IP NAT overload nearing port exhaustion under heavy simultaneous session load"
NET-030,"After enabling portfast on a port later connected to another switch, the network experienced a broadcast storm","Switch1 Fa0/12 was configured with portfast for a workstation, later repurposed as an uplink to Switch5 without removing portfast","STP loop from misapplied portfast",high,"show run int Fa0/12: spanning-tree portfast | show interfaces Fa0/12: connected device MAC table shows switch BPDUs arriving on a portfast-enabled port","Portfast left enabled on a port now uplinked to another switch, bypassing STP loop prevention"
